timestamp
2025-09-20 06:00:00
2025-09-20 06:30:00
2025-09-20 07:00:00
2025-09-20 07:30:00
2025-09-20 08:00:00
2025-09-20 08:30:00
2025-09-20 09:00:00
2025-09-20 09:30:00
2025-09-20 10:00:00
2025-09-20 10:30:00
2025-09-20 11:00:00
2025-09-20 11:30:00
2025-09-20 12:00:00
2025-09-20 12:30:00
2025-09-20 13:00:00
2025-09-20 13:30:00
2025-09-20 14:00:00
2025-09-20 14:30:00
2025-09-20 15:00:00
2025-09-20 15:30:00
2025-09-20 16:00:00
2025-09-20 16:30:00
2025-09-20 17:00:00
2025-09-20 17:30:00
2025-09-20 18:00:00
